source,target
kungaiko,DTanjung15
Masdjodi1,Dandhy_Laksono
Masdjodi1,AdhieMassardi
Masdjodi1,fadlizon pln_123
Masdjodi1,susipudjiastuti
Masdjodi1,podoradong
jcnugie,susipudjiastuti
INDOTEKH,susipudjiastuti
Aini1453M,ARH1924_New
Aini1453M,NewsMuslimah
yusufhasmi74,cnbcindonesia
febwap,susipudjiastuti
febwap,efenerr
japjupp,susipudjiastuti
syfxy,BigAlphaID
Johnywick20,susipudjiastuti
owlettee,susipudjiastuti
owlettee,cnbcindonesia
ammikku,dapitnih
ammikku,susipudjiastuti
ammikku,podoradong
yanyuser,susipudjiastuti
TommyShaka,reformasimental
TommyShaka,susipudjiastuti
HeriFerdinand5,susipudjiastuti
Walzzs,susipudjiastuti
Walzzs,AgusYudhoyono
EleJokow,susipudjiastuti
LokadataID,LokadataID
LokadataID,LokadataID
LokadataID,Niyanni_
LokadataID,nanangsyaifudin
hujanrindu17,YouTube
MayaAnggriani13,susipudjiastuti
Ridwan107111,susipudjiastuti
jltnndy,BigAlphaID
lkhwah,cnbcindonesia
Aenuddin5,susipudjiastuti
auliairfan23,03__nakula
auliairfan23,HerzakyMPutra_
Antolala4,susipudjiastuti
ayamkqecap,tengamalam
dq_john,susipudjiastuti
arian4official,susipudjiastuti
albarakhmad2,Niyanni_
Jaysyi1924,rajawalimataram
0pieRdwu,podo_ora_dong
akbar_pahlev,motizenchannel
akbar_pahlev,RicKY_KCh
akbar_pahlev,cnbcindonesia
akbar_pahlev,motizenchannel
akbar_pahlev,podoradong
akbar_pahlev,cnbcindonesia
Ngebutmaut,Dandhy_Laksono
Ngebutmaut,cnbcindonesia
Ngebutmaut,podoradong
Ngebutmaut,cnbcindonesia
Ngebutmaut,Sahabat_Bangsa
Ngebutmaut,cnbcindonesia
Ngebutmaut,detikfinance
Ngebutmaut,detikfinance
Ngebutmaut,KATADATAcoid
Ngebutmaut,detikfinance
Ngebutmaut,cnbcindonesia
Ngebutmaut,cnbcindonesia
Ngebutmaut,cnbcindonesia
Ngebutmaut,susipudjiastuti
Ngebutmaut,podoradong
Ngebutmaut,cnbcindonesia
Ngebutmaut,podo_ora_dong
Ngebutmaut,dapitnih
Ngebutmaut,cnbcindonesia
masaryaduta,susipudjiastuti
kemitris,idtodayco
sudahminumteh,BigAlphaID
Bil_lubis,AgusYudhoyono
Bil_lubis,renandabachtar
Bil_lubis,jokowi
Bil_lubis,AgusYudhoyono
Bil_lubis,OfficialBMI__
PeterUdayana,susipudjiastuti
MbahJaroL,susipudjiastuti
cilakabangsaku,motizenchannel
cilakabangsaku,susipudjiastuti
jasjusrasasalak,iqbalikromi
AtmokoWa,tengamalam
bibin_bey,_KingPurwa
bibin_bey,motizenchannel
bibin_bey,susipudjiastuti
rizkygmahdi,BigAlphaID
dap_ady,BigAlphaID
AfrizaMunaf,susipudjiastuti
AfrizaMunaf,ibnupurna
Latheris33,susipudjiastuti
Ummuyumna9,ARH1924_New
Ummuyumna9,NewsMuslimah
rizalkilasbalik,susipudjiastuti
AHKurnia,chillinaris
AHKurnia,susipudjiastuti
Eges_KC25,susipudjiastuti
RatnaKencana4,Kenzo_Hamtaro Hilmi28
RatnaKencana4,susipudjiastuti
eizanfolks,susipudjiastuti
eizanfolks,Miduk17
eizanfolks,Dennysiregar7
OlanzKiid,susipudjiastuti
OlanzKiid,agussari
M_Fahrul27,BigAlphaID
dewideedeedee,AbuAskar3
dewideedeedee,ARH1924_New
dewideedeedee,ovan_ghozali1
dewideedeedee,tintasiyasi_id
Budi_lahap,erickthohir
abdulrtah,podoradong
abdulrtah,susipudjiastuti
abdulrtah,dapitnih
Indra_SWA,BigAlphaID
salahbenersama,susipudjiastuti
aokisme_,detikcom
elfanhz,AgusYudhoyono
tomyouths,BigAlphaID
yaniprawiro1,RicKY_KCh
yaniprawiro1,susipudjiastuti
yaniprawiro1,AgusYudhoyono
AyubEkoPrasetyo,susipudjiastuti
rackarnivore,KangopeNew
eshtemaniz,susipudjiastuti
dioyudha2,syahirularif susipudjiastuti
dioyudha2,ElninoZaldi susipudjiastuti
WiberMelayu6,susipudjiastuti
susan1612,akhwatelya zarazettirazr
susan1612,susipudjiastuti
yahkosonghuh,cahyasshinta
fadjarkusuma,susipudjiastuti
betara01,susipudjiastuti
faesal_chipo,BigAlphaID
rangdomthingy,dickyrevolution susipudjiastuti
fenlam,susipudjiastuti
salmaprameswari,BigAlphaID
noniadelia,M_Asmara1701
noniadelia,podoradong
noniadelia,susipudjiastuti
fadla,susipudjiastuti
rijoel_chan,susipudjiastuti msaid_didu
rezasheva,susipudjiastuti
Widiatis279,SantorinisSun
Widiatis279,tirtapandia ainunnajib
Widiatis279,Dennysiregar7
Widiatis279,JOINLampung
Widiatis279,aewin86
Scorpio746,susipudjiastuti
Scorpio746,podoradong
Scorpio746,podoradong
Scorpio746,zarazettirazr
agus8876,susipudjiastuti
PellokilaGuii,susipudjiastuti
ekaloktvn,susipudjiastuti
tryumnaa,susipudjiastuti
Maderaiwikan,BigAlphaID
billyemkel,detikcom
sang_alim,susipudjiastuti
Iipoenk,podoradong
Iipoenk,musniumar
Iipoenk,susipudjiastuti
lycorise_blue,Habibah_US2
lycorise_blue,susipudjiastuti
lycorise_blue,motizenchannel
lycorise_blue,Kenzo_Hamtaro Hilmi28
lycorise_blue,LexWu13
roon3651,susipudjiastuti
DILARANGMARAH,susipudjiastuti
pipitcuit82,BigAlphaID
bu_mayyy,podoradong
bu_mayyy,susipudjiastuti
bu_mayyy,podoradong
glixttergloss,susipudjiastuti
woong_ndesoo,susipudjiastuti
woong_ndesoo,podoradong
hendy_akbar02,susipudjiastuti
sconov,iqbalikromi
msaid_didu,susipudjiastuti
msaid_didu,AdhieMassardi
surodilagan,mantriss
surodilagan,jumhurhidayat mohmahfudmd gusmusgusmu saidaqil
wildanwoles,susipudjiastuti
mrsjongdae_,BigAlphaID
wiwiksmd,susipudjiastuti
militannkri01,LOVE_AG4EVER BiLLRaY2019
militannkri01,susipudjiastuti
maktal_212,podoradong
maktal_212,NephiLaxmus
kamzatttcimaeev,susipudjiastuti
Noorofiq2,susipudjiastuti
DewiZHU2,detikfinance
DewiZHU2,ARH1924_New
Otonoites,susipudjiastuti
MonikaTrifena,susipudjiastuti
